bhk,area,region,status,price_in_USD,house_type,new
2,950,1,0,202800.0,0,0
2,950,1,0,156000.0,0,0
1,550,1,0,96000.0,0,0
1,620,1,0,99600.0,0,0
1,555,1,0,90000.0,0,0
1,550,1,0,92400.0,0,0
1,520,1,0,102000.0,0,0
1,615,1,0,102000.0,0,0
1,715,1,1,87600.0,0,1
1,600,1,0,102000.0,0,0
2,1100,1,0,156000.0,0,0
2,995,1,0,144000.0,0,0
2,750,1,0,102000.0,0,0
1,735,1,1,87600.0,0,1
2,750,1,0,162000.0,0,0
2,980,1,0,120000.0,0,0
1,1000,1,0,162000.0,0,0
1,650,1,0,93600.0,0,0
3,1500,1,0,336000.0,0,0
1,675,1,0,117600.0,0,0
2,800,1,0,120000.0,0,0
1,765,1,0,111600.0,0,0
1,700,1,0,90000.0,0,0
1,700,1,0,96000.0,0,0
1,680,1,0,97200.0,0,0
1,750,1,1,96000.0,0,1
1,500,1,0,94800.0,0,0
1,550,1,0,60000.0,0,0
1,630,1,0,98400.0,2,1
3,950,1,0,186000.0,0,0
3,1670,1,0,222000.0,0,0
2,1250,1,0,165599.99999999997,0,0
2,1050,1,0,138000.0,0,0
1,714,1,0,91200.0,0,0
2,900,1,0,118800.0,0,0
1,714,1,0,87600.0,0,0
2,1250,1,0,162000.0,0,0
2,1250,1,0,165599.99999999997,0,0
1,470,1,1,86400.0,0,1
1,650,1,0,108000.0,0,0
3,950,1,0,108000.0,0,0
2,1050,1,0,156000.0,0,0
2,925,1,0,111600.0,0,0
2,955,1,0,118800.0,0,0
1,490,1,0,102000.0,0,0
1,490,1,0,102000.0,0,0
1,350,1,0,56400.0,0,0
2,875,1,0,132000.0,0,0
1,638,2,0,30600.0,0,0
2,1380,2,0,66000.0,0,0
2,995,2,1,45600.0,0,0
2,775,2,0,32400.0,0,0
2,933,2,1,45600.0,0,1
1,675,2,1,33600.0,0,1
1,630,2,1,31440.0,0,1
1,750,2,0,42000.0,0,1
2,1050,2,0,48000.0,0,0
1,650,2,0,31200.0,0,0
2,850,2,0,50400.0,0,1
1,650,2,1,32400.0,0,1
2,900,2,1,56400.0,0,1
1,622,2,1,39600.0,0,1
2,1005,2,0,49584.0,0,1
2,1035,2,0,50952.0,0,1
1,1330,2,0,64332.0,0,1
1,740,2,0,36276.0,0,1
1,670,2,0,33096.0,0,1
1,925,2,0,45959.99999999999,0,1
1,570,2,0,28800.0,0,1
2,1040,2,0,54000.0,0,1
1,1120,2,0,54000.0,0,1
1,720,2,0,31200.0,0,0
1,670,2,0,32400.0,0,1
1,675,2,0,31200.0,0,1
2,820,2,0,38400.0,0,1
1,595,2,0,32400.0,0,1
2,821,2,1,45396.0,0,1
2,821,2,1,45396.0,0,1
2,821,2,1,45396.0,0,1
2,821,2,1,45396.0,0,1
2,973,2,1,53232.0,0,1
2,973,2,1,53232.0,0,1
1,670,2,1,37608.0,0,1
1,670,2,1,37608.0,0,1
1,639,2,1,36000.0,0,1
1,639,2,1,36000.0,0,1
1,682,2,1,38220.0,0,1
1,682,2,1,38220.0,0,1
2,1100,2,0,48000.0,0,1
1,580,2,0,34800.0,0,1
1,640,2,0,28800.0,0,1
2,950,2,0,42000.0,0,1
1,660,2,0,38400.0,0,0
1,680,2,0,36000.0,0,1
1,675,2,0,31200.0,0,1
1,650,2,0,31200.0,0,1
1,660,2,0,30000.0,0,1
1,660,2,0,32400.0,0,0
2,1133,2,0,49200.0,0,1
2,830,2,0,38400.0,0,1
2,845,2,0,38400.0,0,1
1,730,2,0,31320.0,0,0
2,968,2,0,46800.0,0,1
1,680,2,0,31200.0,0,1
1,520,2,0,28800.0,0,1
2,1130,2,0,48000.0,0,0
1,730,2,0,31200.0,0,0
4,1030,2,0,46800.0,0,1
1,510,2,0,24000.0,2,1
1,640,2,0,30000.0,0,1
4,1070,2,0,54000.0,0,1
2,1160,2,0,50400.0,0,1
1,535,2,0,26400.0,0,1
2,1040,2,0,43200.0,0,1
1,685,2,0,31200.0,0,1
2,993,2,0,44400.0,0,1
1,582,2,0,33828.0,0,1
2,1040,2,0,55200.0,0,1
1,580,2,0,32400.0,0,1
2,1040,2,0,44400.0,0,1
2,931,2,0,44400.0,0,0
1,690,2,0,31200.0,0,0
1,670,2,0,32400.0,0,1
1,580,2,1,31200.0,0,1
2,920,2,1,54000.0,0,1
1,675,2,0,31200.0,0,1
1,685,2,1,33696.0,0,1
2,865,2,1,42420.0,0,1
1,692,2,0,46080.0,0,1
1,582,2,1,35820.0,0,1
1,685,2,1,31800.0,0,1
1,720,2,1,39600.0,0,1
1,700,2,0,31200.0,0,1
1,636,2,0,36000.0,0,1
1,670,2,1,33600.0,0,1
2,1000,2,1,52800.0,0,1
1,590,2,1,27600.0,0,1
1,624,2,1,26400.0,0,1
1,691,2,1,28800.0,0,1
2,1063,2,1,44400.0,0,1
2,1075,2,1,44400.0,0,1
1,631,2,1,30000.0,0,1
1,626,2,0,30000.0,0,1
1,695,2,0,34500.0,0,0
2,900,2,0,55800.0,0,1
1,730,2,0,43800.0,0,1
1,630,2,1,31800.0,0,1
1,730,2,1,45000.0,0,1
1,650,2,1,31200.0,0,1
1,750,2,1,48000.0,0,0
1,840,2,1,47280.0,0,1
1,689,2,1,36000.0,0,1
1,640,2,1,36000.0,0,0
1,730,2,1,44400.0,0,1
1,665,2,1,34800.0,0,1
1,690,2,0,43200.0,0,1
1,690,2,0,43200.0,0,1
1,670,2,1,42000.0,0,1
2,886,2,1,46943.99999999999,0,1
1,650,2,0,43200.0,0,1
2,950,2,1,60000.0,0,1
2,877,2,1,38280.0,0,1
1,416,2,1,24600.0,2,1
1,561,2,0,26148.0,0,1
1,590,2,0,25860.0,0,1
2,877,2,0,38280.0,0,1
1,562,2,0,26520.0,0,1
1,405,2,0,19800.0,2,1
1,668,2,1,32400.0,0,1
2,876,2,1,43200.0,0,1
2,815,2,0,34800.0,0,1
2,815,2,0,34800.0,0,1
2,882,2,0,38280.0,0,1
1,598,2,0,25824.0,0,1
2,685,2,0,31176.0,0,1
2,882,2,1,38160.0,0,1
1,562,2,0,26280.0,0,1
1,565,2,0,26640.0,0,1
1,517,2,1,32160.0,0,1
2,690,2,0,31560.0,0,1
1,595,2,1,31920.0,0,1
2,860,2,0,40920.0,0,1
1,560,2,0,26160.0,0,1
1,570,2,0,26400.0,0,1
2,840,2,1,52800.0,0,1
1,640,2,1,31800.0,0,1
1,405,2,1,19800.0,2,1
2,685,2,0,31200.0,0,1
2,860,2,0,40200.0,0,1
1,675,2,0,33000.0,0,1
2,915,2,1,44400.0,0,1
2,875,2,0,43200.0,0,1
1,594,2,0,25800.0,0,1
1,517,2,1,32040.0,0,1
2,1152,2,1,70200.0,0,1
2,957,2,1,58800.0,0,1
2,865,2,0,40320.0,0,1
2,954,2,1,58800.0,0,1
1,681,2,1,43200.0,0,1
1,582,2,1,36600.0,0,1
1,668,2,1,41400.0,0,1
1,680,2,0,33480.0,0,1
1,410,2,1,19800.0,2,1
1,565,2,0,26400.0,0,1
1,570,2,0,26400.0,0,1
2,883,2,0,38759.99999999999,0,1
2,883,2,0,38400.0,0,1
2,798,2,0,34800.0,0,1
1,561,2,0,26100.0,0,1
2,880,2,0,38340.0,0,1
2,688,2,0,31200.0,0,1
1,572,2,0,26640.0,0,1
2,880,2,0,38400.0,0,1
1,628,2,0,27000.0,0,1
1,590,2,0,25800.0,0,1
1,675,2,0,33960.0,0,1
2,692,2,0,31320.0,0,1
2,878,2,0,38520.0,0,1
1,650,2,1,38400.0,0,1
1,640,2,0,31800.0,0,1
2,895,2,0,45600.0,0,1
1,675,2,0,33600.0,0,1
1,670,2,0,32400.0,0,0
1,700,2,0,33600.0,0,0
2,900,2,0,56400.0,0,1
2,821,2,1,45396.0,0,1
2,821,2,1,45396.0,0,1
2,973,2,1,53232.0,0,1
2,973,2,1,53232.0,0,1
1,670,2,1,37608.0,0,1
2,821,2,1,45396.0,0,1
2,973,2,1,53232.0,0,1
1,718,2,1,40080.0,0,1
1,639,2,1,36000.0,0,1
1,670,2,1,37608.0,0,1
1,682,2,1,38220.0,0,1
1,718,2,1,40080.0,0,1
1,639,2,1,36000.0,0,1
1,682,2,1,38220.0,0,1
2,821,2,1,45396.0,0,1
2,821,2,1,45396.0,0,1
2,973,2,1,53232.0,0,1
2,973,2,1,53232.0,0,1
1,670,2,1,37608.0,0,1
2,821,2,1,45396.0,0,1
2,973,2,1,53232.0,0,1
1,718,2,1,40080.0,0,1
1,639,2,1,36000.0,0,1
1,670,2,1,37608.0,0,1
1,682,2,1,38220.0,0,1
1,718,2,1,40080.0,0,1
1,639,2,1,36000.0,0,1
1,682,2,1,38220.0,0,1
2,850,2,0,39600.0,0,1
1,605,2,0,33000.0,0,1
1,1300,2,1,64800.0,0,1
1,1100,2,1,59988.0,0,1
1,1050,2,1,59880.0,0,1
1,970,2,1,51588.0,0,1
1,970,2,1,51480.0,0,1
1,750,2,1,39468.0,0,1
1,750,2,1,39240.00000000001,0,1
1,750,2,1,39300.0,0,1
1,750,2,1,39359.99999999999,0,1
1,750,2,1,39480.0,0,1
1,650,2,1,35880.0,0,1
2,1055,2,1,58236.0,0,1
2,1050,2,1,57960.0,0,1
1,740,2,1,40848.0,0,1
1,640,2,0,36000.0,0,1
2,875,2,0,48000.0,0,1
3,1365,2,0,75600.0,0,1
2,990,2,0,45600.0,0,1
1,660,2,0,38400.0,0,1
1,675,2,1,38040.0,0,1
2,945,2,0,62400.0,0,1
2,690,2,0,42000.0,0,1
1,757,2,1,40800.0,0,0
1,645,2,0,31200.0,0,1
2,951,2,0,44400.0,0,1
2,879,2,0,40800.0,0,1
1,667,2,0,30000.0,0,1
1,730,2,0,48000.0,0,1
1,346,2,0,18600.0,0,1
1,450,2,1,19200.0,2,1
1,660,2,0,30000.0,0,0
1,845,2,0,34800.0,0,1
2,845,2,0,48000.0,0,1
1,675,2,0,30000.0,0,0
1,675,2,0,33600.0,0,0
1,700,2,0,33000.0,0,0
1,651,2,1,30600.0,0,1
1,560,2,0,26100.0,0,1
1,675,2,0,31200.0,0,1
2,951,2,1,43200.0,0,1
2,856,2,0,40800.0,0,1
2,780,2,0,33600.0,0,1
1,730,2,0,44400.0,0,1
1,600,2,0,28800.0,0,0
1,370,2,0,20400.0,0,0
1,759,2,1,41604.0,0,0
1,735,2,0,33600.0,0,0
1,731,2,0,30000.0,0,0
1,700,2,1,34440.0,2,0
2,900,2,1,44400.0,0,0
1,680,2,0,30000.0,2,0
1,680,2,0,30000.0,2,0
1,680,2,0,30000.0,2,0
1,680,2,0,30000.0,2,0
2,760,2,0,45600.0,0,0
2,945,2,0,54000.0,0,0
2,945,2,0,54000.0,0,0
1,735,2,0,33600.0,0,0
2,920,2,0,48000.0,0,0
2,920,2,0,48000.0,0,0
2,920,2,0,48000.0,0,0
2,920,2,0,48000.0,0,0
1,656,2,0,37800.0,0,0
1,656,2,0,37800.0,0,0
2,1047,3,1,59496.0,0,1
2,594,3,0,41400.0,0,1
2,1047,3,1,59496.0,0,1
2,528,3,0,37800.0,0,1
2,1002,3,1,56940.0,0,1
2,1002,3,1,56940.0,0,1
1,840,3,1,45924.00000000001,0,1
1,840,3,1,45924.00000000001,0,1
1,702,3,1,38388.0,0,1
1,702,3,1,38388.0,0,1
