bhk,area,region,status,price_in_USD,house_type,new
1,765,Airoli,0,111600.0,0,0
1,700,Airoli,0,90000.0,0,0
1,700,Airoli,0,96000.0,0,0
1,680,Airoli,0,97200.0,0,0
1,750,Airoli,1,96000.0,0,1
1,500,Airoli,0,94800.0,0,0
1,550,Airoli,0,60000.0,0,0
1,630,Airoli,0,98400.0,2,1
3,950,Airoli,0,186000.0,0,0
3,1670,Airoli,0,222000.0,0,0
2,1250,Airoli,0,165599.99999999997,0,0
2,1050,Airoli,0,138000.0,0,0
1,714,Airoli,0,91200.0,0,0
2,900,Airoli,0,118800.0,0,0
1,714,Airoli,0,87600.0,0,0
2,1250,Airoli,0,162000.0,0,0
2,1250,Airoli,0,165599.99999999997,0,0
1,470,Airoli,1,86400.0,0,1
1,650,Airoli,0,108000.0,0,0
3,950,Airoli,0,108000.0,0,0
2,1050,Airoli,0,156000.0,0,0
2,925,Airoli,0,111600.0,0,0
2,955,Airoli,0,118800.0,0,0
1,490,Airoli,0,102000.0,0,0
1,490,Airoli,0,102000.0,0,0
1,350,Airoli,0,56400.0,0,0
2,875,Airoli,0,132000.0,0,0
1,638,Ambernath East,0,30600.0,0,0
2,1380,Ambernath East,0,66000.0,0,0
2,995,Ambernath East,1,45600.0,0,0
2,775,Ambernath East,0,32400.0,0,0
2,933,Ambernath East,1,45600.0,0,1
1,675,Ambernath East,1,33600.0,0,1
1,630,Ambernath East,1,31440.0,0,1
1,750,Ambernath East,0,42000.0,0,1
2,1050,Ambernath East,0,48000.0,0,0
1,650,Ambernath East,0,31200.0,0,0
2,850,Ambernath East,0,50400.0,0,1
1,650,Ambernath East,1,32400.0,0,1
2,900,Ambernath East,1,56400.0,0,1
1,622,Ambernath East,1,39600.0,0,1
2,1005,Ambernath East,0,49584.0,0,1
2,1035,Ambernath East,0,50952.0,0,1
1,1330,Ambernath East,0,64332.0,0,1
1,740,Ambernath East,0,36276.0,0,1
1,670,Ambernath East,0,33096.0,0,1
1,925,Ambernath East,0,45959.99999999999,0,1
1,570,Ambernath East,0,28800.0,0,1
2,1040,Ambernath East,0,54000.0,0,1
1,1120,Ambernath East,0,54000.0,0,1
1,720,Ambernath East,0,31200.0,0,0
