bhk,type,locality,area,price,price_unit,region,status,age,price_in_USD
2,0,4776,1091,1.31,Cr,72,1,New,157200.0
2,0,4776,1091,1.31,Cr,72,1,New,157200.0
2,0,4776,666,82.0,L,72,1,New,98400.0
2,0,4776,666,82.0,L,72,1,New,98400.0
2,0,738,725,1.7,Cr,55,0,New,204000.0
2,0,738,725,1.7,Cr,55,0,New,204000.0
4,0,738,1492,3.4,Cr,55,0,New,408000.0
4,0,738,1492,3.4,Cr,55,0,New,408000.0
2,0,738,715,1.68,Cr,55,0,New,201600.0
2,0,738,715,1.68,Cr,55,0,New,201600.0
1,0,738,505,1.08,Cr,55,0,New,129600.0
1,0,738,505,1.08,Cr,55,0,New,129600.0
2,0,5247,555,1.42,Cr,194,1,New,170400.0
2,0,5247,644,1.58,Cr,194,1,New,189600.0
2,0,5247,515,1.24,Cr,194,1,New,148800.0
2,0,5247,644,1.58,Cr,194,1,New,189600.0
2,0,5247,635,1.65,Cr,194,1,New,198000.0
1,0,738,505,1.08,Cr,55,0,New,129600.0
4,0,690,1969,6.89,Cr,8,1,New,826800.0
4,0,690,1969,6.89,Cr,8,1,New,826800.0
2,0,7826,720,57.07,L,26,1,New,68484.0
1,0,7826,514,38.74,L,26,1,New,46488.0
1,0,7826,514,38.74,L,26,1,New,46488.0
2,0,690,685,2.26,Cr,8,1,New,271199.99999999994
2,0,690,685,2.26,Cr,8,1,New,271199.99999999994
3,0,690,1236,4.08,Cr,8,1,New,489600.0
3,0,690,1236,4.08,Cr,8,1,New,489600.0
2,0,9097,1002,47.45,L,5,1,New,56940.0
2,0,9097,1002,47.45,L,5,1,New,56940.0
1,0,9097,840,38.27,L,5,1,New,45924.00000000001
1,0,9097,840,38.27,L,5,1,New,45924.00000000001
1,0,9097,702,31.99,L,5,1,New,38388.0
1,0,9097,702,31.99,L,5,1,New,38388.0
2,0,9097,1030,48.78,L,5,1,New,58536.0
2,0,9097,1030,48.78,L,5,1,New,58536.0
2,0,9097,1027,48.63,L,5,1,New,58356.0
2,0,9097,1027,48.63,L,5,1,New,58356.0
1,0,9097,730,33.26,L,5,1,New,39912.0
1,0,9097,730,33.26,L,5,1,New,39912.0
1,0,9097,790,36.0,L,5,1,New,43200.0
1,0,9097,790,36.0,L,5,1,New,43200.0
2,0,9097,950,44.99,L,5,1,New,53988.0
2,0,9097,950,44.99,L,5,1,New,53988.0
2,0,9097,1063,50.34,L,5,1,New,60408.0
2,0,9097,1063,50.34,L,5,1,New,60408.0
2,0,9097,1057,50.05,L,5,1,New,60060.0
2,0,9097,1057,50.05,L,5,1,New,60060.0
2,0,9097,1008,47.73,L,5,1,New,57276.0
2,0,9097,1008,47.73,L,5,1,New,57276.0
2,0,9097,1070,50.67,L,5,1,New,60804.0
2,0,9097,1070,50.67,L,5,1,New,60804.0
1,0,9097,812,37.0,L,5,1,New,44400.0
1,0,9097,812,37.0,L,5,1,New,44400.0
2,0,9097,1012,47.92,L,5,1,New,57504.0
2,0,9097,1012,47.92,L,5,1,New,57504.0
1,0,1343,740,39.22,L,26,0,New,47064.0
1,0,1343,740,39.22,L,26,0,New,47064.0
2,0,1343,1045,55.38,L,26,0,New,66456.0
2,0,1343,1045,55.38,L,26,0,New,66456.0
1,0,1343,690,36.57,L,26,0,New,43884.0
1,0,1343,690,36.57,L,26,0,New,43884.0
2,0,1343,1085,57.5,L,26,0,New,69000.0
2,0,1343,1085,57.5,L,26,0,New,69000.0
2,0,1343,1060,56.18,L,26,0,New,67416.0
2,0,1343,1060,56.18,L,26,0,New,67416.0
1,0,1343,795,42.13,L,26,0,New,50556.0
1,0,1343,795,42.13,L,26,0,New,50556.0
1,0,768,384,91.01,L,30,1,New,109212.0
1,0,768,384,91.01,L,30,1,New,109212.0
2,0,768,558,1.32,Cr,30,1,New,158400.0
2,0,768,558,1.32,Cr,30,1,New,158400.0
2,0,768,557,1.32,Cr,30,1,New,158400.0
2,0,768,557,1.32,Cr,30,1,New,158400.0
2,0,768,618,1.46,Cr,30,1,New,175200.0
2,0,768,618,1.46,Cr,30,1,New,175200.0
1,0,9713,501,29.5,L,5,0,New,35400.0
1,0,9713,399,24.5,L,5,0,New,29400.0
1,0,9713,440,26.5,L,5,0,New,31800.0
2,0,9713,635,36.5,L,5,0,New,43800.0
2,0,9713,569,33.0,L,5,0,New,39600.0
1,0,9713,464,27.5,L,5,0,New,33000.0
1,0,9713,422,26.0,L,5,0,New,31200.0
2,0,5221,937,1.35,Cr,91,1,New,162000.0
2,0,5221,945,1.44,Cr,91,1,New,172800.0
5,0,5221,2135,3.14,Cr,91,1,New,376800.0
3,0,5221,1198,1.79,Cr,91,1,New,214800.0
6,0,5221,2396,3.59,Cr,91,1,New,430800.0
3,0,5221,1698,2.48,Cr,91,1,New,297600.0
3,0,4012,895,1.42,Cr,140,1,New,170400.0
2,0,4012,601,97.92,L,140,1,New,117504.0
2,0,8118,679,1.24,Cr,194,1,New,148800.0
3,0,8118,887,1.87,Cr,194,1,New,224400.0
2,0,8544,692,53.0,L,217,1,New,63600.0
1,0,8544,487,36.99,L,217,1,New,44388.0
1,0,9013,515,75.0,L,78,1,New,90000.0
1,0,746,427,1.02,Cr,67,1,New,122400.0
1,0,746,380,91.2,L,67,1,New,109440.0
2,0,746,517,1.24,Cr,67,1,New,148800.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
2,0,8538,1000,32.0,L,5,0,Resale,38400.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
2,0,8252,950,80.0,L,198,1,Resale,96000.0
2,0,182,950,55.0,L,86,1,Resale,66000.0
1,0,6905,650,20.0,L,8,0,Resale,24000.0
4,0,5645,2100,3.25,Cr,154,0,Resale,390000.0
1,0,4420,720,47.0,L,47,1,Resale,56400.0
3,0,941,1530,2.85,Cr,30,0,Resale,342000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,650,20.0,L,8,0,Resale,24000.0
1,0,1187,560,25.0,L,125,0,Resale,30000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,747,400,79.8,L,61,1,Resale,95760.0
1,0,1653,530,22.79,L,136,0,Resale,27348.0
2,0,7365,920,65.0,L,47,1,Resale,78000.0
1,0,4849,550,25.0,L,190,0,Resale,30000.0
1,0,234,650,20.0,L,28,1,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
4,0,7307,1500,5.6,Cr,79,0,Resale,672000.0
1,0,6905,650,20.0,L,8,0,Resale,24000.0
1,0,1187,520,25.0,L,125,0,Resale,30000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,3156,453,85.0,L,194,0,Resale,102000.0
1,0,9781,650,1.0,Cr,141,0,Resale,120000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,650,20.0,L,8,0,Resale,24000.0
2,0,1975,920,1.1,Cr,96,0,Resale,132000.0
1,0,6905,650,20.0,L,8,0,Resale,24000.0
1,0,8248,570,55.0,L,194,0,Resale,66000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,4774,750,45.0,L,72,0,Resale,54000.0
2,0,1987,500,10.0,L,190,0,Resale,12000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,4777,677,30.0,L,140,0,Resale,36000.0
1,0,4777,650,35.0,L,140,1,Resale,42000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
3,0,2678,1015,2.45,Cr,120,1,New,294000.0
3,0,2678,1116,2.85,Cr,120,1,New,342000.0
3,0,2678,1116,2.85,Cr,120,1,New,342000.0
3,0,2678,1056,2.45,Cr,120,1,New,294000.0
3,0,2678,1056,2.45,Cr,120,1,New,294000.0
3,0,2678,1015,2.45,Cr,120,1,New,294000.0
3,0,2678,1015,2.45,Cr,120,1,New,294000.0
3,0,2678,1116,2.85,Cr,120,1,New,342000.0
3,0,2678,1056,2.45,Cr,120,1,New,294000.0
3,0,2678,1015,2.45,Cr,120,1,New,294000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
3,0,2726,1076,3.19,Cr,7,1,New,382800.0
3,0,2726,1076,3.19,Cr,7,1,New,382800.0
3,0,2726,1076,3.19,Cr,7,1,New,382800.0
2,0,2726,718,2.12,Cr,7,1,New,254400.0
3,0,2726,1076,3.19,Cr,7,1,New,382800.0
2,0,2726,758,2.24,Cr,7,1,New,268800.00000000006
2,0,2726,718,2.12,Cr,7,1,New,254400.0
